                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99313,                 2.8904,                 1.1919,                 0.2028,                      1,                0.99489,                0.99483,                0.59241,                 2.3637,                 1.0897,             0.00065957,             0.00065957,             0.00065957
                      2,                0.53469,                0.86767,                0.97553,                0.74901,                0.98333,                0.98946,                0.98946,                0.55445,                 1.0506,                 1.1007,                 0.0013,                 0.0013,                 0.0013
                      3,                0.41177,                0.49992,                0.94646,                0.50215,                      1,                  0.995,                  0.995,                0.49155,                 2.0427,                 1.1008,               0.001914,               0.001914,               0.001914
                      4,                0.36467,                0.39215,                0.94336,                0.99892,                      1,                  0.995,                  0.995,                0.40444,                  2.837,                 1.0842,              0.0018812,              0.0018812,              0.0018812
                      5,                0.31983,                0.34549,                0.93301,                0.93623,                      1,                  0.995,                0.98909,                0.39133,                 2.0931,                 1.0856,              0.0018416,              0.0018416,              0.0018416
                      6,                0.29204,                0.32746,                0.92831,                0.86693,                      1,                  0.995,                0.95337,                0.33753,                 2.0412,                 1.0749,               0.001802,               0.001802,               0.001802
                      7,                0.26952,                0.30622,                0.91962,                 0.4926,                      1,                 0.7063,                 0.7063,                0.37264,                 2.9398,                 1.0873,              0.0017624,              0.0017624,              0.0017624
                      8,                0.24771,                0.29263,                 0.9161,                0.95679,                      1,                  0.995,                  0.995,                0.40928,                  1.616,                 1.0861,              0.0017228,              0.0017228,              0.0017228
                      9,                0.23199,                 0.2793,                0.91497,                0.53821,                      1,                0.99228,                0.98565,                0.54066,                 1.7911,                 1.1032,              0.0016832,              0.0016832,              0.0016832
                     10,                0.22791,                0.27346,                0.91286,                0.49985,                      1,                 0.4975,                 0.4975,                0.35899,                 2.1656,                 1.0814,              0.0016436,              0.0016436,              0.0016436
                     11,                0.22731,                0.26733,                 0.9138,                0.49989,                      1,                0.94411,                0.93507,                0.39118,                  2.497,                 1.0759,               0.001604,               0.001604,               0.001604
                     12,                0.21175,                0.26221,                0.90486,                0.49999,                      1,                0.50752,                0.45407,                0.34509,                 1.7332,                 1.0809,              0.0015644,              0.0015644,              0.0015644
                     13,                0.21426,                0.25805,                0.90941,                0.39452,                      1,                    0.5,                    0.5,                0.25702,                 3.7722,                 1.0896,              0.0015248,              0.0015248,              0.0015248
                     14,                0.20893,                0.25272,                0.90619,                0.50407,                      1,                0.90947,                0.90947,                0.22674,                 2.3619,                 1.0683,              0.0014852,              0.0014852,              0.0014852
                     15,                0.19818,                0.24565,                0.90632,                0.49992,                      1,                  0.995,                  0.995,                0.27129,                 3.9824,                 1.0714,              0.0014456,              0.0014456,              0.0014456
                     16,                0.19662,                0.24082,                0.90187,                0.50222,                      1,                0.94932,                0.92581,                0.51033,                 2.2009,                 1.1473,               0.001406,               0.001406,               0.001406
                     17,                0.18299,                0.23004,                0.90687,                0.50053,                      1,                0.85327,                0.85327,                0.29567,                 1.8499,                 1.0786,              0.0013664,              0.0013664,              0.0013664
                     18,                0.17538,                0.22323,                0.90406,                0.55724,                      1,                0.99499,                0.99499,                0.23797,                 1.3848,                 1.0728,              0.0013268,              0.0013268,              0.0013268
                     19,                0.18618,                0.22486,                0.90553,                0.63196,                      1,                  0.995,                  0.995,                 0.2548,                0.94117,                 1.0672,              0.0012872,              0.0012872,              0.0012872
                     20,                0.17286,                0.21727,                0.89919,                0.99968,                      1,                  0.995,                  0.995,                0.26813,                0.66998,                 1.0873,              0.0012476,              0.0012476,              0.0012476
                     21,                0.16955,                0.21677,                0.90511,                0.84388,                      1,                0.99482,                0.98769,                0.40547,                 1.2495,                 1.1022,               0.001208,               0.001208,               0.001208
                     22,                0.17377,                0.21102,                0.90353,                0.46765,                      1,                0.94763,                0.94763,                0.26139,                 2.4447,                 1.0674,              0.0011684,              0.0011684,              0.0011684
                     23,                0.16927,                0.20971,                0.90406,                 0.5038,                      1,                0.90463,                0.90463,                0.23748,                 2.6593,                 1.0636,              0.0011288,              0.0011288,              0.0011288
                     24,                0.17102,                0.20863,                0.89949,                  0.652,                      1,                  0.995,                  0.995,                0.32211,                 1.8044,                 1.1155,              0.0010892,              0.0010892,              0.0010892
                     25,                0.17119,                0.20799,                0.90383,                0.99966,                      1,                  0.995,                  0.995,                0.36269,                 1.5953,                 1.1259,              0.0010496,              0.0010496,              0.0010496
                     26,                0.15683,                0.19915,                0.89517,                0.59086,                      1,                  0.995,                  0.995,                 0.3129,                 3.1368,                 1.1596,                0.00101,                0.00101,                0.00101
                     27,                0.16196,                0.19958,                0.89647,                0.61918,                      1,                  0.995,                  0.995,                0.33696,                 1.6365,                 1.1315,              0.0009704,              0.0009704,              0.0009704
                     28,                 0.1504,                0.19194,                0.89581,                0.99996,                      1,                  0.995,                  0.995,                0.38352,                0.58466,                 1.1844,              0.0009308,              0.0009308,              0.0009308
                     29,                0.14447,                0.18731,                0.90204,                0.99977,                      1,                  0.995,                  0.995,                0.34233,                0.99647,                 1.1673,              0.0008912,              0.0008912,              0.0008912
                     30,                0.14191,                0.18384,                 0.8962,                0.91142,                      1,                  0.995,                  0.995,                0.29503,                 1.3202,                 1.1536,              0.0008516,              0.0008516,              0.0008516
                     31,                0.13774,                0.17825,                0.89822,                0.99958,                      1,                  0.995,                  0.995,                0.30686,                 1.0022,                 1.1619,               0.000812,               0.000812,               0.000812
                     32,                0.13842,                0.17708,                0.90351,                0.99956,                      1,                  0.995,                  0.995,                 0.3162,                0.84852,                 1.1403,              0.0007724,              0.0007724,              0.0007724
                     33,                0.13636,                0.17509,                0.89693,                0.99894,                      1,                  0.995,                  0.995,                0.30231,                 0.9562,                 1.1329,              0.0007328,              0.0007328,              0.0007328
                     34,                0.13506,                0.17112,                0.89973,                0.50538,                      1,                  0.995,                  0.995,                0.22843,                 1.7862,                 1.1258,              0.0006932,              0.0006932,              0.0006932
                     35,                0.13352,                0.17077,                0.89996,                0.99963,                      1,                  0.995,                  0.995,                0.33586,                0.93501,                 1.1746,              0.0006536,              0.0006536,              0.0006536
                     36,                0.12642,                0.16182,                0.89745,                0.99989,                      1,                  0.995,                  0.995,                0.25102,                0.61115,                 1.1347,               0.000614,               0.000614,               0.000614
                     37,                0.12098,                0.15715,                0.89815,                0.99973,                      1,                  0.995,                  0.995,                0.29788,                0.61615,                  1.149,              0.0005744,              0.0005744,              0.0005744
                     38,                0.12422,                0.15745,                0.89538,                0.99939,                      1,                  0.995,                  0.995,                0.27859,                0.90277,                 1.1552,              0.0005348,              0.0005348,              0.0005348
                     39,                0.12012,                0.15807,                0.89544,                0.99995,                      1,                  0.995,                  0.995,                0.28862,                0.52282,                 1.1474,              0.0004952,              0.0004952,              0.0004952
                     40,                0.11463,                0.15495,                0.89348,                0.99986,                      1,                  0.995,                0.99026,                0.32611,                0.49573,                  1.147,              0.0004556,              0.0004556,              0.0004556
                     41,                0.10432,                0.19281,                0.90911,                0.93769,                      1,                 0.9947,                0.90195,                 0.3861,                 1.4791,                 1.1703,               0.000416,               0.000416,               0.000416
                     42,                0.08504,                0.11339,                0.91128,                0.99965,                      1,                  0.995,                0.99433,                0.29966,                0.81325,                 1.1356,              0.0003764,              0.0003764,              0.0003764
                     43,                0.07501,                0.09645,                0.91128,                0.98664,                0.98477,                0.99449,                0.99392,                0.24134,                0.87383,                 1.0725,              0.0003368,              0.0003368,              0.0003368
                     44,                0.06851,                0.08734,                 0.8998,                0.95726,                0.99933,                0.99461,                0.99461,                0.18861,                0.80654,                 1.0631,              0.0002972,              0.0002972,              0.0002972
                     45,                0.06494,                0.08115,                0.90112,                0.99992,                      1,                  0.995,                  0.995,                0.14957,                 0.5766,                 1.0571,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.0607,                0.07693,                0.90447,                0.99775,                      1,                  0.995,                  0.995,                0.16106,                0.75944,                 1.0584,               0.000218,               0.000218,               0.000218
                     47,                0.05813,                0.07265,                0.90508,                0.94333,                0.99467,                0.99459,                0.99459,                0.18527,                0.83574,                 1.0623,              0.0001784,              0.0001784,              0.0001784
                     48,                0.05265,                0.06611,                0.90851,                0.90638,                0.94333,                0.98268,                0.98257,                0.22215,                 1.0585,                 1.0692,              0.0001388,              0.0001388,              0.0001388
                     49,                0.05263,                0.06472,                0.90714,                0.90898,                0.96333,                0.98753,                0.98753,                0.21936,                 1.0367,                 1.0673,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.05007,                0.06298,                0.90119,                0.99662,                      1,                  0.995,                  0.995,                0.16512,                0.69251,                 1.0582,               5.96e-05,               5.96e-05,               5.96e-05
