                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22524,                 3.3149,                0.90015,                0.88998,                   0.89,                0.90311,                0.27641,                0.34311,                 2.8723,                 1.0592,             0.00054976,             0.00054976,             0.00054976
                      2,                0.25731,                 1.2022,                0.90476,                0.99939,                      1,                  0.995,                0.98679,                0.42424,                 2.0638,                 1.1904,              0.0010835,              0.0010835,              0.0010835
                      3,                0.21258,                0.49239,                0.89778,                0.99972,                      1,                  0.995,                  0.995,                0.44251,                 0.8052,                   1.19,              0.0015953,              0.0015953,              0.0015953
                      4,                0.19505,                 0.3236,                0.90188,                0.99942,                      1,                  0.995,                0.85773,                0.36737,                0.98505,                 1.1664,               0.001568,               0.001568,               0.001568
                      5,                0.18192,                 0.2644,                0.90085,                0.84086,                      1,                  0.995,                  0.995,                0.33962,                 2.1972,                 1.1255,               0.001535,               0.001535,               0.001535
                      6,                0.17336,                0.24585,                0.90134,                0.99968,                      1,                  0.995,                0.99471,                0.41292,                0.92374,                 1.1509,               0.001502,               0.001502,               0.001502
                      7,                0.16167,                 0.2315,                0.89716,                0.94527,                      1,                0.99348,                0.70751,                0.39145,                 1.1969,                 1.1242,               0.001469,               0.001469,               0.001469
                      8,                0.16664,                0.22737,                0.89736,                0.73139,                0.99733,                0.97069,                0.62937,                0.57454,                 3.0136,                 1.1177,               0.001436,               0.001436,               0.001436
                      9,                0.16348,                0.21303,                 0.8982,                0.49999,                      1,                  0.995,                  0.995,                0.23978,                 2.1172,                 1.0706,              0.0014029,              0.0014029,              0.0014029
                     10,                0.14871,                0.20482,                0.89776,                0.50335,                      1,                0.99328,                0.52155,                0.67017,                 2.7685,                 1.1773,              0.0013699,              0.0013699,              0.0013699
                     11,                 0.1549,                0.20048,                0.89912,                0.26407,                      1,                0.83782,                0.76556,                0.33547,                 4.4321,                 1.0876,              0.0013369,              0.0013369,              0.0013369
                     12,                0.15157,                0.20278,                0.89075,                0.77672,                      1,                0.99499,                0.99498,                0.30954,                 1.2415,                 1.1021,              0.0013039,              0.0013039,              0.0013039
                     13,                0.15213,                0.20095,                0.89649,                0.56064,                      1,                  0.995,                  0.995,                0.31093,                0.98828,                  1.088,              0.0012709,              0.0012709,              0.0012709
                     14,                0.14412,                0.18821,                0.89361,                0.86358,                      1,                0.99492,                0.92224,                0.35332,                 1.5251,                  1.119,              0.0012379,              0.0012379,              0.0012379
                     15,                0.13792,                0.18432,                0.89394,                0.93647,                      1,                0.99475,                0.65795,                0.36617,                  1.603,                 1.0814,              0.0012049,              0.0012049,              0.0012049
                     16,                0.14385,                0.18234,                0.89121,                0.84554,                      1,                  0.995,                  0.995,                0.39027,                 1.3024,                 1.0878,              0.0011719,              0.0011719,              0.0011719
                     17,                 0.1362,                0.17654,                0.89651,                 0.3507,                      1,                0.99042,                 0.9796,                  0.322,                  2.208,                 1.0879,              0.0011389,              0.0011389,              0.0011389
                     18,                0.13339,                0.17554,                0.89376,                0.99973,                      1,                  0.995,                0.99483,                0.25679,                0.57458,                 1.0964,              0.0011059,              0.0011059,              0.0011059
                     19,                0.13222,                0.16865,                0.89552,                0.99611,                      1,                  0.995,                0.99498,                0.30195,                 1.7609,                 1.1078,              0.0010729,              0.0010729,              0.0010729
                     20,                0.12767,                  0.167,                0.89063,                0.96819,                0.98733,                0.99419,                0.58776,                0.49553,                  1.791,                 1.2111,              0.0010399,              0.0010399,              0.0010399
                     21,                 0.1307,                0.17064,                0.89617,                0.46143,                      1,                  0.995,                0.98559,                 0.3311,                 1.7746,                 1.1024,              0.0010069,              0.0010069,              0.0010069
                     22,                0.13009,                0.16558,                0.89424,                0.75909,                      1,                0.99495,                 0.9946,                0.38789,                 1.0652,                 1.0989,             0.00097386,             0.00097386,             0.00097386
                     23,                0.11775,                0.15571,                0.89482,                0.87911,                      1,                  0.995,                0.69261,                0.58029,                 2.0858,                  1.341,             0.00094085,             0.00094085,             0.00094085
                     24,                0.12465,                0.15849,                0.89091,                 0.5169,                      1,                  0.995,                0.58397,                0.48894,                 2.4295,                  1.128,             0.00090785,             0.00090785,             0.00090785
                     25,                0.12232,                 0.1566,                0.89509,                0.79828,                      1,                  0.995,                0.57321,                0.40637,                 1.9936,                 1.0962,             0.00087484,             0.00087484,             0.00087484
                     26,                0.12022,                0.15422,                0.88714,                0.95838,                      1,                  0.995,                0.98813,                0.29012,                 1.3898,                  1.113,             0.00084184,             0.00084184,             0.00084184
                     27,                  0.119,                0.15572,                0.88856,                0.75483,                0.99067,                0.93571,                0.66419,                0.52661,                 1.1524,                 1.1373,             0.00080883,             0.00080883,             0.00080883
                     28,                0.11139,                0.14739,                0.88777,                0.92759,                      1,                0.99499,                0.56926,                0.34101,                 1.4541,                 1.1022,             0.00077582,             0.00077582,             0.00077582
                     29,                0.10839,                0.14355,                0.89484,                0.60525,                      1,                0.99457,                0.99133,                0.46969,                 1.3229,                 1.1177,             0.00074282,             0.00074282,             0.00074282
                     30,                0.10982,                0.14391,                0.88915,                0.89078,                      1,                  0.995,                  0.995,                0.31731,                 1.1691,                 1.0899,             0.00070981,             0.00070981,             0.00070981
                     31,                0.10754,                0.14171,                0.89105,                0.53175,                      1,                0.90463,                0.62713,                0.36612,                 1.3297,                 1.0919,              0.0006768,              0.0006768,              0.0006768
                     32,                0.10504,                0.13966,                0.89681,                0.84253,                      1,                0.99084,                0.66503,                0.38396,                 1.3368,                  1.108,              0.0006438,              0.0006438,              0.0006438
                     33,                0.10689,                 0.1364,                0.89053,                0.99547,                      1,                  0.995,                0.63448,                0.38774,                 1.5861,                 1.1091,             0.00061079,             0.00061079,             0.00061079
                     34,                0.10473,                0.13416,                0.89332,                0.33553,                      1,                0.79543,                0.42466,                0.45251,                 2.8774,                 1.1009,             0.00057778,             0.00057778,             0.00057778
                     35,                0.10356,                 0.1337,                0.89335,                0.98635,                      1,                  0.995,                0.61973,                0.55336,                 2.1419,                 1.1808,             0.00054478,             0.00054478,             0.00054478
                     36,                0.09804,                0.12878,                0.89138,                0.84715,                      1,                  0.995,                0.53008,                0.62716,                 2.3987,                 1.2013,             0.00051177,             0.00051177,             0.00051177
                     37,                0.09508,                0.12375,                0.89254,                0.50424,                      1,                0.99494,                0.60115,                 0.4803,                 2.5555,                 1.1114,             0.00047876,             0.00047876,             0.00047876
                     38,                  0.098,                0.12544,                0.88921,                0.55792,                      1,                0.99444,                0.99444,                0.31825,                 1.7785,                 1.0864,             0.00044576,             0.00044576,             0.00044576
                     39,                0.09596,                0.12646,                 0.8901,                0.74746,                      1,                  0.995,                0.52005,                0.68978,                 2.3902,                 1.1862,             0.00041275,             0.00041275,             0.00041275
                     40,                0.09278,                0.12572,                0.88795,                0.96807,                      1,                  0.995,                0.58824,                0.59568,                 2.3714,                 1.1551,             0.00037974,             0.00037974,             0.00037974
                     41,                0.08298,                0.17381,                0.90674,                 0.4794,                      1,                 0.9928,                0.89934,                0.59112,                 2.7675,                 1.6414,             0.00034674,             0.00034674,             0.00034674
                     42,                0.07012,                0.10435,                0.90876,                0.57221,                      1,                0.98376,                0.69638,                0.65511,                 1.9875,                 1.6183,             0.00031373,             0.00031373,             0.00031373
                     43,                0.06224,                 0.0887,                0.90768,                0.50241,                      1,                0.92627,                0.68685,                0.82748,                 2.6928,                 1.6498,             0.00028072,             0.00028072,             0.00028072
                     44,                0.05943,                0.08039,                0.89638,                0.58286,                      1,                0.91374,                0.79956,                0.78997,                 2.7742,                 1.6105,             0.00024772,             0.00024772,             0.00024772
                     45,                0.05673,                0.07343,                0.89741,                 0.9118,                      1,                0.99459,                0.97783,                0.68157,                 2.2905,                 1.4749,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.0532,                0.06953,                0.90101,                0.79673,                      1,                0.98699,                0.98177,                0.62169,                 2.1012,                 1.4624,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.0526,                0.06729,                0.90073,                0.82448,                      1,                0.99337,                0.97995,                0.66546,                 2.3741,                  1.487,              0.0001487,              0.0001487,              0.0001487
                     48,                0.04866,                0.06501,                0.90647,                0.75082,                      1,                0.99066,                0.97994,                0.71125,                 2.5072,                 1.5542,             0.00011569,             0.00011569,             0.00011569
                     49,                0.04774,                0.06102,                0.90546,                0.75783,                      1,                0.99054,                0.97208,                0.69125,                  2.513,                 1.5148,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.04599,                0.05898,                 0.8985,                0.97519,                      1,                  0.995,                0.98952,                0.56709,                 1.9196,                 1.3433,             4.9677e-05,             4.9677e-05,             4.9677e-05
